Date,Temperature,Light Intensity,Co2 Level,Predict Sucess
11/11/2020,29.9,8,10,22.55
7/11/2021,25.21,1,1,29.35
5/18/2021,21.44,2,9,22.89
2/6/2021,22.95,6,1,22.24
10/25/2020,26.71,10,5,27.3
4/6/2021,24.6,8,5,22.45
10/24/2020,22.71,9,4,26.34
6/18/2021,20.96,3,5,24.18
6/25/2021,22.22,4,1,25.28
5/31/2021,28.85,4,2,22.17
9/29/2020,24.41,5,2,25.4
5/20/2021,29.33,1,4,28.65
9/16/2020,23.35,7,6,23.25
3/28/2021,29.69,6,9,29.87
11/10/2020,22.01,7,3,20.15
8/17/2020,25.49,7,12,20.19
6/9/2021,22.85,1,8,29.88
6/10/2021,24.83,1,5,23.5
4/19/2021,29.77,2,11,29.44
6/12/2021,28.79,8,2,26.31
7/9/2021,24.79,8,4,25.06
6/22/2021,29.15,3,5,26.86
2/25/2021,25.79,4,10,21.5
3/7/2021,22.06,5,9,23.13
11/21/2020,20.7,8,7,28.29
6/3/2021,22.5,3,11,21.43
6/25/2021,28.99,10,11,24.48
12/11/2020,29.3,9,7,25.79
3/13/2021,21.82,6,6,29.76
6/27/2021,26.36,1,4,28.12
3/31/2021,23.36,5,9,26.64
8/3/2020,25.68,4,12,24.7
6/8/2021,27.93,9,5,23.26
8/9/2020,24.81,5,2,22.87
12/11/2020,26.52,3,5,29.23
2/27/2021,21.91,9,10,21.67
1/18/2021,29.45,6,7,26.16
3/9/2021,21.15,4,8,21.46
12/25/2020,25.55,7,11,22.45
6/29/2021,22.42,1,10,23.05
6/7/2021,24.6,6,10,25.24
2/23/2021,29.93,3,11,20.44
9/4/2020,25.06,8,11,24.13
4/8/2021,26.99,7,5,26.68
2/28/2021,21.24,1,9,29.67
8/29/2020,29.28,3,9,25.82
1/12/2021,27.68,1,1,29.35
12/28/2020,29.8,10,8,26.3
4/13/2021,26.3,10,7,20.68
7/16/2020,26.03,4,2,21.68
10/30/2020,22.25,5,4,27.09
5/2/2021,29.89,9,7,27.13
1/19/2021,20.18,4,7,22.9
8/24/2020,20.18,7,2,20.7
10/24/2020,29.6,8,4,20.73
1/3/2021,22.11,6,4,21.54
7/26/2020,22.91,3,3,27.99
4/17/2021,21.07,2,9,23.96
4/23/2021,28.42,2,6,22.4
1/29/2021,21.31,1,12,28.38
1/23/2021,28.11,6,4,25.71
2/19/2021,21.2,9,12,26.52
8/28/2020,23.4,10,4,20.37
11/17/2020,27.44,4,7,23.38
3/31/2021,29.97,7,12,25.33
12/5/2020,22.9,6,1,24.09
11/19/2020,24.14,8,6,25.8
6/7/2021,22.86,5,4,26.53
1/27/2021,24.44,1,4,22.18
9/23/2020,24.51,6,12,24.22
8/12/2020,23.05,7,11,28.33
10/3/2020,20.97,7,2,24.89
11/26/2020,20.59,9,8,27.01
5/18/2021,21.06,8,9,22.95
4/11/2021,29.57,5,11,23.85
3/25/2021,25.8,1,9,20.8
1/27/2021,21.26,4,5,21.61
11/27/2020,20.66,6,12,27.43
3/12/2021,25.49,6,8,21.06
3/29/2021,23.26,4,12,24.85
4/21/2021,24.12,5,9,25.96
5/8/2021,20.2,5,5,29.56
8/25/2020,25.85,2,7,20.96
9/7/2020,24.62,8,6,26.44
5/2/2021,20.83,4,6,29.18
3/29/2021,28.91,9,3,20.73
1/22/2021,22.7,6,2,23.54
10/7/2020,29.04,7,1,29.92
6/10/2021,24.28,10,1,21.4
6/9/2021,20.8,8,2,22.07
10/23/2020,28.76,6,7,28.41
5/25/2021,25.27,1,3,23.6
7/30/2020,23.16,8,1,21.12
10/3/2020,21.48,3,7,23.62
5/18/2021,29.95,4,3,29.63
2/16/2021,21.93,3,8,26.04
4/1/2021,28.42,9,9,21.0
1/17/2021,21.84,6,8,22.92
7/5/2021,26.51,4,8,24.47
7/27/2020,23.69,6,6,22.94
10/27/2020,24.11,3,11,23.78
11/16/2020,21.63,3,5,24.62
3/26/2021,27.68,4,9,27.76
6/17/2021,28.66,9,9,27.75
3/5/2021,27.58,2,3,28.89
5/17/2021,26.16,6,4,23.32
5/29/2021,22.03,4,8,25.33
1/2/2021,24.65,4,4,20.6
8/13/2020,26.13,2,10,20.63
5/16/2021,21.18,6,1,29.94
8/26/2020,20.82,7,5,29.17
10/15/2020,20.11,3,9,26.41
1/2/2021,20.48,3,7,24.71
1/2/2021,20.84,2,1,28.78
1/11/2021,28.53,9,4,24.53
3/24/2021,28.11,3,1,21.07
6/17/2021,25.42,5,3,22.84
8/26/2020,26.16,1,6,23.3
11/20/2020,26.04,2,11,23.84
9/13/2020,20.4,3,8,23.91
1/15/2021,25.69,2,12,27.21
1/26/2021,29.6,5,4,25.86
3/15/2021,20.54,9,5,21.52
11/20/2020,29.41,5,7,25.9
10/9/2020,29.22,3,2,25.98
6/17/2021,22.95,4,8,26.34
9/24/2020,26.92,4,12,26.56
6/10/2021,25.26,9,3,26.28
12/8/2020,29.34,7,8,23.81
5/6/2021,26.96,10,4,20.36
5/12/2021,24.01,4,10,29.2
6/23/2021,23.42,4,6,28.24
9/6/2020,23.87,1,11,25.88
7/18/2020,26.67,8,4,29.75
8/25/2020,28.47,9,11,23.33
12/29/2020,20.79,10,2,22.34
11/11/2020,22.09,8,1,23.96
8/21/2020,20.94,1,7,28.3
6/22/2021,24.65,5,8,25.18
11/12/2020,24.71,1,11,26.6
1/16/2021,22.39,5,2,28.14
3/10/2021,23.07,9,10,22.08
5/28/2021,23.64,9,11,25.88
10/20/2020,28.86,3,7,22.18
4/11/2021,25.27,6,8,23.77
9/1/2020,20.36,6,8,29.2
1/5/2021,23.23,2,5,23.96
9/5/2020,22.98,4,11,29.45
12/17/2020,27.79,3,6,26.57
6/23/2021,24.21,5,4,21.21
10/12/2020,28.36,10,10,25.13
11/10/2020,21.98,2,11,26.6
10/1/2020,20.69,1,11,29.67
11/9/2020,28.83,2,1,27.42
10/27/2020,20.69,5,3,20.58
10/30/2020,23.5,7,2,29.65
4/24/2021,29.93,4,3,26.68
6/12/2021,21.12,3,4,25.47
3/12/2021,22.88,2,4,25.8
8/27/2020,24.09,3,4,28.63
4/15/2021,20.29,5,9,23.47
8/19/2020,27.76,7,8,20.45
9/7/2020,27.53,4,12,23.39
1/22/2021,22.93,5,5,26.02
12/29/2020,20.99,5,1,22.06
11/6/2020,29.36,8,8,20.39
5/29/2021,27.18,1,1,21.51
9/27/2020,28.89,8,4,29.85
3/28/2021,21.52,4,4,23.71
3/24/2021,28.22,7,7,24.24
11/11/2020,27.04,2,4,21.6
10/23/2020,21.95,8,10,21.35
9/24/2020,28.54,1,6,20.29
10/31/2020,25.5,1,10,21.4
1/21/2021,20.87,2,5,28.88
11/26/2020,23.09,9,5,22.2
10/3/2020,30.0,6,4,25.78
8/30/2020,23.78,9,9,29.04
4/11/2021,29.37,6,12,23.65
6/2/2021,20.96,5,9,26.79
2/4/2021,29.13,7,3,26.42
6/26/2021,22.92,7,12,21.9
8/31/2020,29.56,8,8,26.5
9/12/2020,27.0,8,11,25.14
7/18/2020,28.74,4,5,25.95
10/19/2020,20.91,9,10,27.04
2/1/2021,20.28,8,7,28.11
12/30/2020,21.23,9,2,26.64
3/8/2021,29.53,1,4,21.99
12/7/2020,24.61,5,10,22.79
11/18/2020,24.93,9,4,20.59
12/5/2020,22.61,5,3,28.97
2/20/2021,21.58,6,6,22.91
4/1/2021,29.7,4,5,27.99
7/30/2020,23.1,7,11,22.7
5/29/2021,21.1,1,9,24.45
1/4/2021,21.15,2,10,21.61
11/1/2020,27.98,10,12,29.77
4/29/2021,28.17,5,10,23.34
10/26/2020,20.56,5,11,20.74
5/4/2021,23.51,8,11,25.38
1/18/2021,29.99,1,10,20.69
8/24/2020,26.91,7,3,20.34
7/31/2020,20.46,6,1,22.51
12/18/2020,24.06,2,4,22.2
2/6/2021,25.39,5,11,24.9
8/2/2020,25.51,2,1,25.68
9/28/2020,27.48,1,2,20.76
11/22/2020,22.62,7,9,21.39
10/8/2020,20.68,5,6,26.78
10/30/2020,27.06,3,1,29.92
4/19/2021,25.33,10,3,24.7
6/28/2021,27.53,7,7,25.0
4/12/2021,27.73,9,10,24.53
2/28/2021,24.06,1,10,21.45
1/3/2021,27.51,1,4,25.31
3/22/2021,29.35,4,3,25.46
12/18/2020,25.39,10,11,27.97
5/23/2021,26.75,2,4,27.44
8/6/2020,24.87,2,4,21.39
7/18/2020,20.97,10,8,23.09
4/4/2021,27.31,5,2,26.44
11/27/2020,29.72,7,5,28.26
6/2/2021,25.91,7,10,23.67
12/29/2020,27.28,8,1,20.7
7/18/2020,27.75,10,10,26.71
1/29/2021,21.76,5,1,24.07
11/18/2020,24.09,1,11,21.44
10/26/2020,21.4,10,8,22.2
4/27/2021,24.85,10,11,27.93
9/13/2020,21.96,4,12,28.25
12/16/2020,28.84,6,10,25.88
9/23/2020,21.15,1,3,28.77
8/9/2020,21.11,10,9,21.63
5/15/2021,23.67,8,8,24.9
12/19/2020,23.13,10,5,25.04
7/7/2021,21.37,2,12,26.59
7/9/2021,24.95,2,2,25.61
4/24/2021,26.25,7,10,29.92
9/2/2020,25.51,2,7,24.63
7/19/2020,28.13,3,2,26.01
12/17/2020,26.38,6,11,21.16
10/15/2020,24.92,7,12,20.59
4/1/2021,23.83,10,5,28.94
9/25/2020,21.03,9,11,21.85
5/18/2021,28.58,6,6,26.08
3/17/2021,29.01,6,3,29.96
11/29/2020,29.53,1,9,23.3
12/18/2020,24.37,7,1,22.95
11/30/2020,25.29,9,6,27.92
11/7/2020,28.44,10,5,22.6
7/19/2020,24.06,1,11,29.86
7/22/2020,24.46,5,7,21.55
5/21/2021,23.24,10,10,20.94
3/4/2021,29.8,10,11,20.41
1/15/2021,25.31,1,3,23.14
6/21/2021,23.64,9,2,26.14
6/28/2021,29.86,5,1,22.21
11/1/2020,21.67,3,4,24.16
1/3/2021,24.57,3,6,24.13
7/24/2020,26.16,1,3,23.68
12/10/2020,24.6,4,11,25.11
11/18/2020,20.27,4,12,23.09
3/20/2021,28.61,3,1,26.23
3/26/2021,26.87,9,5,20.94
5/20/2021,21.63,8,6,23.6
6/28/2021,26.65,10,9,25.47
